設備名称,アイテム名称,作業開始予定,作業完了予定,開始時間(数値),終了時間(数値),開始時間,終了時間,処理時間,残業時間,型替時間
23,310726,01080,04410,02747,02751,2024-05-24 15:17:00,2024-05-24 15:21:00,004,000,020
23,310887,02280,05610,02850,02882,2024-05-24 17:00:00,2024-05-24 17:32:00,032,000,020
23,310763,02010,05880,02917,03797,2024-05-24 18:07:00,2024-05-26 11:47:00,880,000,035
23,310579,-2520,04680,04409,04489,2024-05-27 11:59:00,2024-05-27 14:19:00,080,000,023
23,310684,00480,04680,04516,04676,2024-05-27 14:46:00,2024-05-27 17:26:00,160,000,027
23,309961,-3000,05880,04711,04753,2024-05-27 18:01:00,2024-05-27 18:43:00,042,000,035
23,310806,02280,05610,04788,04820,2024-05-27 19:18:00,2024-05-28 08:50:00,032,000,035
23,310853,02610,05280,04842,04922,2024-05-28 09:12:00,2024-05-28 10:32:00,080,000,022
23,310883,01680,05010,04949,04957,2024-05-28 10:59:00,2024-05-28 11:07:00,008,000,027
23,310733,02880,06810,05079,05127,2024-05-28 14:09:00,2024-05-28 14:57:00,048,000,027
23,310730,02880,06810,05150,05190,2024-05-28 15:20:00,2024-05-28 16:00:00,040,000,023
23,310888,02880,06210,05217,05345,2024-05-28 16:27:00,2024-05-28 18:35:00,128,000,027
23,310801,02280,05610,05380,05396,2024-05-28 19:10:00,2024-05-28 19:26:00,016,000,035
23,310687,02010,05880,05426,05610,2024-05-29 08:56:00,2024-05-29 13:00:00,184,000,030
23,310893,05280,09210,06440,06520,2024-05-30 16:50:00,2024-05-30 18:10:00,080,000,015
23,310844,04410,09210,06548,06636,2024-05-30 18:38:00,2024-05-31 09:06:00,088,000,028
